晦,huì,hối,(hình thức kết hợp) ngày cuối tháng âm lịch/(hình thức kết hợp) tối, u ám/(văn học) đêm,,,,,,
啄,zhuó,trác,mổ,,,,,,,
趾,zhǐ,chỉ,ngón chân,,,,,,,
蚯,qiū,khâu,dùng trong 蚯蚓[qiu1 yin3],,,,,,,
蛀,zhù,chú,mối/đục khoét (côn trùng),,,,,,,
鄂,è,ngạc,họ [E4]/viết tắt của tỉnh Hồ Bắc 湖北省[Hu2bei3 Sheng3],,,,,,,
啰,luō|luó|luo,la,dùng trong 囉嗦|啰嗦[luo1 suo5] | (trợ từ cảm thán cuối câu),,,,,,,
啥,shá,xá,từ địa phương tương đương với 什麼|什么[shen2 me5]/cũng đọc là [sha4],,,,,,,
崎,qí,khi,núi non,,,,,,,
崔,cuī,thôi,họ [Cui1] | (văn học) (núi non) cao vút,,,,,,,
帷,wéi,duy,rèm/bình phong,,,,,,,
铐,kào,khảo,còng/xích/khóa tay,,,,,,,
铛,chēng|dāng,đang,chảo rán/bếp nướng | keng/klang/tiếng kim loại,,,,,,,
秸,jiē,kiết | giai,thân cây lúa còn lại sau khi đập | biến thể của 秸[jie1],,,,,,,
犁,lí,lê,cái cày,,,,,,,
笙,shēng,sanh,"sanh, nhạc cụ hơi có lam tự do với ống tre dọc",,,,,,,
偎,wēi,ôi,âu yếm,,,,,,,
徙,xǐ,tỉ,(văn học) thay đổi nơi ở,,,,,,,
脯,fǔ|pú,bô,thịt khô/hoa quả sấy | ngực/vú,,,,,,,
豚,tún,đồn,lợn sữa,,,,,,,
庶,shù,thứ,(hình thức kết hợp) bình thường, nhiều/(hình thức kết hợp) liên quan đến thiếp (trái ngược với 嫡[di2]) | biến thể cũ của 庶[shu4],,,,,,
庵,ān,am,túp lều/ngôi chùa nhỏ/ni viện | biến thể của 庵[an1],,,,,,,
痊,quán,thuyên,hồi phục (sau bệnh),,,,,,,
羚,líng,linh,linh dương,,,,,,,
眷,juàn,quyến,"(dạng kết hợp) gia đình, đặc biệt là vợ và con/(văn học) quan tâm và yêu thương; cảm thấy lo lắng cho | (văn học) nhìn với tình yêu và cảm xúc; cảm thấy quan tâm (biến thể của 眷[juan4])",,,,,,,
鸿,hóng,hồng,ngỗng trời miền đông/vĩ đại/lớn,,,,,,,
淑,shū,thục,(dạng kết hợp) (phụ nữ) dịu dàng, tốt bụng, đáng yêu, đáng kính/(dùng trong tên riêng)/cách đọc ở Đài Loan: [shu2],,,,
淫,yín,dâm,quá mức/quá độ/phóng đãng/dâm ô/đồi trụy/tục tĩu/sa đọa | biến thể của 淫[yin2],,,,,,,
淳,chún,thuần,chân thật/tinh khiết/thành thật | biến thể cũ của 淳[chun2],,,,,,,
淤,yū,ứ,bùn lắng/bùn sông/bị bồi lắng/nghẽn bùn/phồn thể của 瘀[yu1],,,,,,,
惟,wéi,duy,chủ nghĩa/chỉ,,,,,,,
悴,cuì,tụy,hốc hác/buồn/buồn bã/phiền muộn | biến thể của 悴[cui4],,,,,,,
寇,kòu,khấu,biến thể cũ của 寇[kou4] | xâm lược/cướp bóc/tặc/thù/địch,,,,,,,
寅,yín,dần,"địa chi thứ 3: 3-5 giờ sáng, tháng đầu tiên theo lịch mặt trời (4 tháng Hai-5 tháng Ba), năm Dần/hướng la bàn cổ của Trung Quốc: 60°",,,,,,,
谚,yàn,ngạn,tục ngữ,,,,,,,
尉,wèi|yù,úy,họ [Wei4] | sĩ quan quân đội | dùng trong 尉遲|尉迟[Yu4 chi2] và 尉犁[Yu4 li2],,,,,,,
隋,suí,tùy,triều đại Tùy (581-617 SCN)/họ [Sui2],,,,,,,
隅,yú,ngung,góc,,,,,,,
婶,shěn,thẩm,vợ của em trai bố,,,,,,,
琳,lín,lâm,đá quý,,,,,,,
琼,qióng,quỳnh,"ngọc thạch/ngọc đẹp/đẹp đẽ/tinh tế (ví dụ: rượu, món ăn)/viết tắt của tỉnh Hải Nam",,,,,,,
堰,yàn,yển,đập nước,,,,,,,
揩,kāi,khai,lau chùi,,,,,,,
彭,péng,bành,họ [Peng2],,,,,,,
壹,yī,nhất,một (chữ số chống gian lận của ngân hàng),,,,,,,
搔,sāo,tao,gãi/biến thể cũ của 騷|骚[sao1],,,,,,,
葫,hú,hồ,Allium scorodoprasum/bầu hồ lô,,,,,,,
葛,gé|gě,cát,họ [Ge3] | cây sắn dây (Pueraria lobata)/vải gai,,,,,,,
蒋,jiǎng,tương,họ [Jiang3]/Tưởng Giới Thạch 蔣介石|蒋介石[Jiang3 Jie4shi2],,,,,,,
葵,kuí,quỳ,hoa hướng dương,,,,,,,
椎,zhuī,chuy,búa, vồ (biến thể của 槌[chui2])/đập, đánh (biến thể của 捶[chui2]) | (hình vị hạn chế) đốt sống,,,,,
棕,zōng,tông,cọ/sợi cọ/xơ dừa/màu nâu | biến thể của 棕[zong1],,,,,,,
榔,láng,lang,cây cao (cổ),,,,,,,
椭,tuǒ,thỏa,hình ellipse,,,,,,,
粟,sù,túc,họ [Su4] | kê/(hoán dụ) ngũ cốc,,,,,,,
硝,xiāo,tiêu,diêm tiêu/thuộc da (làm da),,,,,,,
硫,liú,lưu,lưu huỳnh (hoá học),,,,,,,
雳,lì,lịch,tiếng sấm,,,,,,,
棠,táng,đường,táo anh đào,,,,,,,
睐,lài,lãi,liếc nhìn/nhìn một cách xem thường,,,,,,,
喳,chā|zhā,tra,"dùng trong 喳喳[cha1 cha5] | (từ tượng thanh) kêu chirp, hót líu lo, v.v.",,,,,,,
晾,liàng,lượng,phơi khô/(nghĩa bóng) lạnh nhạt,,,,,,,
跋,bá,bạt,tái bút/leo trèo qua núi,,,,,,,
跛,bǒ,bả,đi khập khiễng/què/tật nguyền,,,,,,,
蛛,zhū,chu,nhện,,,,,,,
蜓,tíng,đình,xem 蜻蜓[qing1 ting2],,,,,,,
蜒,yán,diên,sên/trong 蜿蜒[wan1 yan2],,,,,,,
蛤,gé|há,cáp,con nghêu | ếch/nhái,,,,,,,
鹃,juān,quyên,chim cuốc,,,,,,,
啼,tí,đề,(hình thức kết hợp) khóc, khóc to/(hình thức kết hợp) (chim hoặc động vật) gáy, kêu, ré | biến thể của 啼[ti2],,,,
锄,chú,sừ,cái cuốc/cuốc hoặc đào/làm cỏ/loại bỏ,,,,,,,
锌,xīn,tử,kẽm (hóa học),,,,,,,
甥,shēng,sanh,con trai của chị gái, cháu trai,,,,,,
氮,dàn,đạm,nitơ (hóa học),,,,,,,
氯,lǜ,lục,clo (hóa học),,,,,,,
筏,fá,phạt | phiệt,biến thể của 筏[fa2] | bè (bằng gỗ),,,,,,,
皓,hào,cảo | hạo,biến thể của 皓[hao4] | sáng, rực rỡ, trắng (đặc biệt là răng trắng sáng của tuổi trẻ hoặc tóc trắng của người già) | biến thể của 皓[hao4]/trắng không tì vết,,,,,
皖,wǎn,hoàn,tên gọi tắt của tỉnh An Huy 安徽省[An1 hui1 Sheng3],,,,,,,
腋,yè,dịch,nách/(sinh học) hố nách/(thực vật) nách lá/tiếng Đài Loan đọc là [yi4],,,,,,,
猬,wèi,vị,(hình thức kết hợp) con nhím,,,,,,,
斌,bīn,bân,biến thể của 彬[bin1],,,,,,,
痘,dòu,đậu,mụn nhọt/nốt mủ,,,,,,,
痢,lì,lị,bệnh kiết lị,,,,,,,
湘,xiāng,tương,"viết tắt của Hồ Nam 湖南, tỉnh ở miền trung nam Trung Quốc/viết tắt của sông Tương, tỉnh Hồ Nam",,,,,,,
渤,bó,bột,"giống như 渤海[Bo2 Hai3], biển Bột Hải giữa Liêu Ninh và Sơn Đông/Vịnh Trực Lệ hoặc Chiết Lệ",,,,,,,
湃,pài,phái,âm thanh của sóng,,,,,,,
渲,xuàn,tuyển,phủ màu,,,,,,,
愕,è,ngạc,kinh ngạc,,,,,,,
惶,huáng,hoàng,(hình thức kết hợp) sợ hãi, kinh sợ, lo lắng, bàng hoàng,,,,
窖,jiào,diếu,hầm chứa,,,,,,,
禄,lù,lộc,phúc lành/lương quan chức,,,,,,,
犀,xī,tê,tê giác/sắc bén,,,,,,,
缎,duàn,đoạn,vải sa tanh,,,,,,,
瑟,sè,sắt,"một loại đàn hạc đứng, nhỏ hơn konghou 箜篌, có từ 5-25 dây",,,,,,,
鹉,wǔ,vũ,vẹt,,,,,,,
瑙,nǎo,não,mã não,,,,,,,
斟,zhēn,châm,rót/cân nhắc,,,,,,,
鹊,què,thước,chim ác là,,,,,,,
蒲,pú,bồ,họ [Pu2]/tên địa danh cũ | chỉ các loài thực vật một lá mầm có hoa như Thạch xương bồ và Cỏ lá hẹp/cỏ nến/cỏ lau,,,,,,,
蓉,róng,dong,"tên gọi tắt của Thành Đô 成都[Cheng2 du1] | loại nhão làm từ nghiền đậu hoặc hạt vv/dùng trong 芙蓉[fu2 rong2], hoa sen",,,,,,,
椿,chūn,xuân,cây thốn (Toona sinensis)/cây Ailanthus altissima/(ẩn dụ văn học) cha,,,,,,,
榄,lǎn,lãm,quả ô liu,,,,,,,
榆,yú,du,cây du,,,,,,,
酪,lào,lạc,sữa hoặc nước trái cây đông lại/cũng đọc là [luo4],,,,,,,
碘,diǎn,điển,iốt (hóa học),,,,,,,
雹,báo,bạc,mưa đá,,,,,,,
睫,jié,tiệp,lông mi,,,,,,,
暇,xiá,hạ,nhàn rỗi,,,,,,,
跷,qiāo,khiêu | kiểu,nhấc chân/đứng nhón gót/cà kheo | biến thể của 蹺|跷[qiao1]/nhấc chân/cà kheo,,,,,,,
跺,duò,đoạ | đoá,biến thể của 跺[duo4] | dậm chân,,,,,,,
蜈,wú,ngô,con rết,,,,,,,
蜗,wō,oa,ốc sên/phát âm ở Đài Loan [gua1]/xem 蝸牛|蜗牛[wo1 niu2],,,,,,,
蛾,é,nga,(hình thức kết hợp) con ngài,,,,,,,
蜕,tuì,thuế,da lột ra khi lột xác/xác lột/hoá nhộng/lột xác/lột/bỏ lớp da hoặc vỏ cũ,,,,,,,
嗡,wēng,ông,(từ tượng thanh) tiếng vo ve/tiếng ngâm nga/tiếng u u,,,,,,,
幌,huǎng,hoảng,biển hiệu/(văn học) rèm cửa sổ,,,,,,,
锚,máo,miêu,mỏ neo,,,,,,,
锣,luó,la,cồng chiêng/LT:面[mian4],,,,,,,
锥,zhuī,trùy,hình nón/cái dùi/khoan,,,,,,,
锰,měng,mạnh,mangan (hóa học),,,,,,,
衙,yá,nha,họ [Ya2] | công sở/nha môn 衙門|衙门,,,,,,,
腮,sāi,tai,má | biến thể của 腮[sai1],,,,,,,
鲍,bào,bảo,họ [Bao4] | bào ngư,,,,,,,
猿,yuán,viên,biến thể của 猿[yuan2] | vượn,,,,,,,
煞,shā|shà,sát,chấm dứt/cắt ngắn/ngừng lại/nặn/thắt chặt/hư hại/biến thể của 殺|杀[sha1] | ác quỷ/quỷ dữ/rất/(Đài Loan) SARS (từ mượn),,,,,,,
雏,chú,sồ,(hình thức kết hợp) gà con, chim non,,,,,,
馍,mó,mô | ma,ổ bánh mì hấp nhỏ | biến thể của 饃|馍[mo2],,,,,,,
馏,liú|liù,lựu,chưng cất/tách một chất lỏng thành các thành phần bằng cách đun sôi | hấp/nấu bằng nồi hấp/hấp lại đồ ăn nguội,,,,,,,
禀,bǐng,bẩm,báo cáo (với cấp trên)/cho/tặng/nhận/thỉnh cầu,,,,,,,
靖,jìng,tĩnh,họ [Jing4] | (dạng kết hợp) yên bình/(dạng kết hợp) bình định, đàn áp,,,,,,
誊,téng,đằng,chép lại/sao chép/(từ không cố định),,,,,,,
滇,diān,điền,viết tắt của tỉnh Vân Nam 雲南|云南[Yun2 nan2] ở tây nam Trung Quốc,,,,,,,
漓,lí,li | ly,lộp độp (tiếng mưa)/thấm qua | tên một con sông | thấm qua,,,,,,,
溺,nì,nịch,chết đuối/chìm đắm/nghiện/nuông chiều (một đứa trẻ) | biến thể của 尿[niao4],,,,,,,
粱,liáng,lương,cây cao lương,,,,,,,
褂,guà,quái,áo không lót kiểu Trung Quốc, áo choàng,,,,,,
剿,jiǎo,tiễu,đạo văn | tiêu diệt/trừ khử | biến thể của 剿[chao1] | biến thể của 剿[jiao3],,,,,,,
赘,zhuì,chuế,(hình thức ghép) thừa thãi/(hình thức ghép) (người đàn ông) chuyển đến ở nhà vợ sau khi kết hôn, (bố mẹ cô dâu) cho chú rể vào ở rể,,,,,,
摹,mó,mô,(dùng trong từ ghép) bắt chước/sao chép,,,,,,,
蔡,cài,thái,họ [Cai4],,,,,,,
蔗,zhè,giá,cây mía,,,,,,,
蔚,wèi|yù,úy,họ [Yu4]/tên địa danh | Artemisia japonica/tươi tốt/rực rỡ/ấn tượng,,,,,,,
榴,liú,lựu,lựu,,,,,,,
榕,róng,dong,"Rong, tên khác của Phúc Châu 福州[Fu2 zhou1] | cây đa lá nhỏ (Ficus microcarpa)",,,,,,,
碱,jiǎn,dảm,biến thể của 鹼|碱[jian3] | (hóa học) bazơ, kiềm, soda,,,,,
辗,zhǎn,triển,lăn qua một bên/lật nửa người,,,,,,,
雌,cí,thư,giống cái/Phát âm Đài Loan [ci1],,,,,,,
裳,shang,thường,quần áo phía dưới/váy/váy lót/trang phục | dùng trong 衣裳[yi1 shang5],,,,,,,
蜻,qīng,tinh,xem 蜻蜓[qing1 ting2],,,,,,,
蜘,zhī,tri,xem 蜘蛛[zhi1 zhu1],,,,,,,
蝉,chán,thiền,con ve sầu,,,,,,,
嘀,dí,đê,"(tượng thanh) âm thanh nước nhỏ giọt, đồng hồ tích tắc, v.v.",,,,,,,
锹,qiāo,thiêu,biến thể của 鍬|锹[qiao1] | cái xẻng/cái mai,,,,,,,
镀,dù,độ,"mạ (vàng, bạc,...)/(tiền tố) mạ -",,,,,,,
箕,jī,ky,giỏ sàng,,,,,,,
箩,luó,la,cái rổ,,,,,,,
箫,xiāo,tiêu,"tiêu, một nhạc cụ cổ của Trung Quốc, giống tiêu Pan",,,,,,,
瘩,dá|da,đáp,lở/nhọt/vảy,,,,,,,
熔,róng,dong,nấu chảy/hợp nhất,,,,,,,
漱,shù,sấu | súc,súc miệng bằng nước/súc miệng | biến thể của 漱[shu4],,,,,,,
谭,tán,đàm,họ [Tan2] | biến thể của 談|谈[tan2],,,,,,,
褐,hè,hạt,màu nâu/màu xám hoặc màu tối/vải gai thô/ở Đài Loan đọc là [he2],,,,,,,
褪,tuì|tùn,thốn,cởi (quần áo)/rụng lông/(màu) phai/bạc màu | tuột ra khỏi cái gì đó/giấu cái gì trong tay áo,,,,,,,
骡,luó,loa,"con la/LT:匹[pi3],頭|头[tou2] | biến thể của 騾|骡[luo2]",,,,,,,
撵,niǎn,niện,trục xuất/loại bỏ/(tiếng địa phương) đuổi theo/cố bắt kịp,,,,,,,
撩,liāo|liáo,liêu,vén lên (thứ gì đang thả xuống)/nâng lên (gấu váy)/kéo lên (tay áo)/vẩy (nước bằng hai tay) | trêu chọc/kích thích/khuấy động (cảm xúc),,,,,,,
撮,cuō|zuǒ,toát,nhặt (bột v.v.) bằng đầu ngón tay/múc/lượm/lấy ra/thu gom/lượng từ: nhúm/đọc ở Đài Loan là [cuo4] | lượng từ cho tóc hoặc cỏ: búi/đọc ở Đài Loan là [cuo4],,,,,,,
擒,qín,cầm,bắt giữ,,,,,,,
墩,dūn,đôn,khối/trụ cổng/bệ cầu/phân loại cho cụm cây/phân loại cho ván bài: ván/(cổ) tháp canh | biến thể cũ của 墩[dun1],,,,,,,
鞍,ān,yên | an,biến thể của 鞍[an1] | yên ngựa,,,,,,,
蕊,ruǐ,nhị,biến thể của 蕊[rui3] | nhị/nhụy,,,,,,,
樱,yīng,anh,cây anh đào,,,,,,,
樟,zhāng,chương,long não/Cinnamomum camphora,,,,,,,
橄,gǎn,cảm,quả oliu,,,,,,,
豌,wān,oản,đậu Hà Lan,,,,,,,
碾,niǎn,niễn,trục nghiền/cối xay/nghiền/đè nát/xay xát,,,,,,,
霄,xiāo,tiêu,bầu trời/thiên đường,,,,,,,
嘻,xī,hi,"cười/toét miệng/(thán từ biểu thị sự ngưỡng mộ, ngạc nhiên, v.v.) | (thán từ biểu thị ngạc nhiên, đau buồn, v.v.)/biến thể của 嘻[xi1]",,,,,,,
嘶,sī,tê,"rít/hí/Xì! (âm thanh hít không khí qua kẽ răng, biểu thị do dự hoặc suy nghĩ)",,,,,,,
嘹,liáo,liệu,"âm thanh trong trẻo/tiếng kêu (của sếu, v.v.)",,,,,,,
蝶,dié,điệp,biến thể của 蝶[die2] | (hình thức kết hợp) con bướm,,,,,,,
蝴,hú,hồ,dùng trong 蝴蝶[hu2 die2],,,,,,,
蝠,fú,bức,(hình thức kết hợp) con dơi,,,,,,,
蝎,xiē,hạt | hiết,biến thể của 蠍|蝎[xie1] | bọ cạp,,,,,,,
蝌,kē,khoa,nòng nọc,,,,,,,
蝗,huáng,hoàng,cào cào,,,,,,,
蝙,biān,biên,dùng trong 蝙蝠[bian1 fu2],,,,,,,
镐,gǎo,hạo,cái cuốc | sáng/tên địa danh/bếp lò,,,,,,,
篓,lǒu,lâu,cái giỏ,,,,,,,
鲤,lǐ,lý,cá chép,,,,,,,
鲫,jì,tức,cá chép bạc/cá rô cát,,,,,,,
褒,bāo,bao,khen ngợi/tuyên dương/tôn vinh/(quần áo) rộng hoặc lỏng | biến thể của 褒[bao1],,,,,,,
瘪,biē|biě,biē|biě,biến thể của 癟|瘪[bie3] | xẹp/nhăn nheo/hõm/rỗng tuếch,,,,,,,
凛,lǐn,lẫm,lạnh/rùng mình vì lạnh/run sợ/sợ hãi/e ngại/nghiêm khắc/nghiêm nghị/nghiêm trọng/khắc khổ/đầy uy nghi/tôn nghiêm/oai vệ,,,,,,,
澎,péng,bành,tiếng sóng,,,,,,,
澈,chè,triệt,trong (nước)/kỹ lưỡng,,,,,,,
憔,qiáo,tiều,hốc hác | biến thể cũ của 憔[qiao2] | biến thể của 憔[qiao2],,,,,,,
懊,ào,áo,hối tiếc,,,,,,,
憎,zēng,tăng,ghét,,,,,,,
翩,piān,phiên,bay nhanh,,,,,,,
褥,rù,nhục,nệm,,,,,,,
憨,hān,hàm,ngốc nghếch/đơn giản/dại dột/ngây thơ/chắc chắn/khỏe mạnh/nặng nề (về dây thừng),,,,,,,
缭,liáo,liễu,quấn quanh/khâu mũi chéo,,,,,,,
擂,léi|lèi,lôi,giã (bằng cối và chày), đánh (người), đánh (trống), đập (cửa)/(phương ngữ) mắng | (hình thức bị giới hạn) sàn đấu võ/người Đài Loan phát âm [lei2],,,,
薛,xuē,tiết,họ [Xue1]/chư hầu thời Chu (1046-256 TC) | cỏ giống ngải (cổ điển),,,,,,,
薇,wēi,vi,"Osmunda regalis, một loài dương xỉ/tiếng Đài Loan đọc là [wei2]",,,,,,,
翰,hàn,hàn,họ [Han4] | bút lông/viết/bút,,,,,,,
噩,è,ngạc,kinh ngạc,,,,,,,
瓢,piáo,biều,gáo/môi múc,,,,,,,
霎,shà,siếp,đột nhiên/mưa phùn,,,,,,,
冀,jì,kí,tên gọi tắt của Hà Bắc 河北[He2bei3]/họ [Ji4] | (văn học) hy vọng,,,,,,,
踱,duó,đạc,đi dạo/đi từng bước/phát âm Đài Loan [duo4],,,,,,,
蹄,tí,đề,móng/chân giò lợn | biến thể của 蹄[ti2],,,,,,,
蹂,róu,nhựu,giẫm đạp,,,,,,,
蟆,má,mô | mạc,cóc | biến thể cũ của 蟆[ma2],,,,,,,
螃,páng,bàng,dùng trong 螃蟹[pang2 xie4],,,,,,,
鹦,yīng,anh,con vẹt,,,,,,,
黔,qián,kiềm,viết tắt của tỉnh Quý Châu 貴州|贵州[Gui4 zhou1],,,,,,,
篡,cuàn,soán,chiếm đoạt/cướp ngôi | biến thể cũ của 篡[cuan4],,,,,,,
篱,lí,li,hàng rào,,,,,,,
鲸,jīng,kình,cá voi,,,,,,,
瘸,qué,qua,què,,,,,,,
濒,bīn,tần,tiếp cận/giáp với/gần,,,,,,,
缰,jiāng,cương,biến thể của 韁|缰[jiang1] | dây cương,,,,,,,
藉,jí|jiè,tạ,biến thể của 借[jie4] | họ [Ji2] | lăng mạ/đối xử tệ bạc (với ai đó) | chiếu ngủ/xoa dịu,,,,,,,
藐,miǎo,miểu,coi thường/nhỏ/biến thể của 渺[miao3],,,,,,,
檬,méng,mông,quả chanh,,,,,,,
檐,yán,diêm,mái hiên/gờ hoặc vành | biến thể của 檐[yan2],,,,,,,
檀,tán,đàn,họ [Tan2] | gỗ đàn hương/gỗ cứng/màu đỏ tía,,,,,,,
磷,lín,lân,biến thể của 磷[lin2] | (hóa học) phốt pho,,,,,,,
瞭,liào,liệu,(mắt) sáng/rõ ràng/hiểu rõ | biến thể không chính thức của 瞭[liao4] | quan sát từ trên cao hoặc khoảng cách,,,,,,,
瞳,tóng,đồng,tròng đen của mắt,,,,,,,
蹋,tà,đạp,dẫm lên,,,,,,,
蟋,xī,tất,dùng trong 蟋蟀[xi1 shuai4],,,,,,,
蟀,shuài,xuất,dùng trong 蟋蟀[xi1 shuai4],,,,,,,
嚎,háo,hào,tru/hú,,,,,,,
穗,suì,tuệ,viết tắt của Quảng Châu 廣州|广州[Guang3 zhou1] | bông lúa/tua rua/nhụy hoa,,,,,,,
簧,huáng,hoàng,lưỡi gà kim loại/lò xo khóa,,,,,,,
糠,kāng,khang | canh,"biến thể của 糠[kang1] | biến thể cũ của 糠[kang1] | vỏ trấu/(củ cải, v.v.) xốp (và vì vậy không ngon miệng)",,,,,,,
懦,nuò,nọa,đần độn/nhút nhát,,,,,,,
臀,tún,đồn,mông/mông đít | biến thể cũ của 臀[tun2],,,,,,,
藕,ǒu,ngẫu,rễ sen,,,,,,,
嚣,xiāo,hiêu,ầm ĩ,,,,,,,
镰,lián,lián,biến thể cũ của 鐮|镰[lian2] | biến thể của 鐮|镰[lian2] | (hình thức kết hợp) lưỡi liềm,,,,,,,
鳍,qí,kì,vây,,,,,,,
襟,jīn,khâm,"ve áo/phần vạt chồng của áo truyền thống Trung Quốc/bóng: tấm lòng (nơi chứa đựng cảm xúc)/ấp ủ (tham vọng, khát khao, ý định cao cả, v.v.) trong lòng",,,,,,,
璧,bì,bích,ngọc bích hình tròn,,,,,,,
孽,niè,nghiệt,biến thể của 孽[nie4] | con trai sinh bởi thiếp/tai họa/tội lỗi/ác,,,,,,,
簸,bǒ|bò,bá,sàng, tung lên xuống | dùng trong 簸箕[bo4 ji1],,,,,,
簿,bù,bộ,sổ/sổ sách/sổ tài khoản,,,,,,,
蟹,xiè,giải,cua | biến thể của 蟹[xie4],,,,,,,
靡,mí|mǐ,mĩ,lãng phí (tiền) | xa hoa/theo kịp mốt/không,,,,,,,
癣,xuǎn,tiển,bệnh hắc lào/tiếng Đài Loan đọc là [xian3],,,,,,,
羹,gēng,canh,canh,,,,,,,
鳖,biē,miết,rùa mai mềm nước ngọt | biến thể của 鱉|鳖[bie1],,,,,,,
鬓,bìn,tấn,thái dương/tóc mai,,,,,,,
蠕,rú,nhuyễn,biến thể của 蠕[ru2] | bò lúc nhúc/ngọ nguậy/quằn quại/tiếng Đài Loan đọc là [ruan3],,,,,,,
巍,wēi,nguy,cao lớn/sừng sững/đài Loan đọc là [wei2],,,,,,,
鳞,lín,lân,vảy (của cá),,,,,,,
糯,nuò,noạ | nhu,biến thể của 糯[nuo4] | gạo nếp/gạo dẻo,,,,,,,
霹,pī,phích,tiếng sấm,,,,,,,
躏,lìn,lận,dùng trong 蹂躪|蹂躏[rou2 lin4],,,,,,,
黯,àn,ảm,(dạng kết hợp) tối, xỉn (màu), mờ nhạt, u ám,,,,
赣,gàn,cám | cống,biến thể của 贛|赣[Gan4] | viết tắt của tỉnh Giang Tây 江西省[Jiang1 xi1 Sheng3]/sông Cám ở tỉnh Giang Tây 江西省[Jiang1 xi1 Sheng3],,,,,,,
瓤,ráng,nhương,phần thịt (của quả)/thứ bên trong một lớp vỏ/xấu/yếu,,,,,,,
矗,chù,súc,cao ngất/đứng thẳng,,,,,,,
乂,yì,nghệ,điều chỉnh/quản lý/kiểm soát/cắt cỏ,,,,,,,
乜,miē|niè,khiết,họ [Nie4] | dùng trong 乜斜[mie1xie5]/(tiếng Quảng Đông) gì?,,,,,,,
兀,wù,ngột,họ [Wu4] | cắt cụt chân/vươn cao/sừng sững/hói,,,,,,,
弋,yì,dặc,bắn,,,,,,,
孑,jié,kiết,một mình,,,,,,,
孓,jué,quyết,dùng trong 孑孓[jie2 jue2],,,,,,,
幺,yāo,yêu,"họ [Yao1] | trẻ nhất/cấp thấp nhất/nhỏ bé/số một (cách nói rõ ràng khi đánh vần số, đặc biệt qua điện thoại hoặc trong quân đội)/mặt một hoặc quân Ách trong trò xúc xắc hoặc đô-mi-nô/biến thể của 吆[yao1], hô to",,,,,,,
亓,qí,qí,họ [Qi2] | của anh ấy/của cô ấy/của nó/của họ,,,,,,,
韦,wéi,vi,họ [Wei2] | da mềm,,,,,,,
廿,niàn,nhập,hai mươi,,,,,,,
丏,miǎn,miễn,ẩn khỏi tầm nhìn/chướng ngại để chắn tên,,,,,,,
卅,sà,tạp,ba mươi,,,,,,,
仄,zè,trắc,nghiêng/hẹp/không yên/bằng trắc (trong thơ Trung Quốc),,,,,,,
